Issue Type,Issue key,Issue id,Summary,Custom field (Variant),Assignee,Due Date,Labels,Labels,Labels,Status,Reporter
Defect,DEIPCNBS20-999,1428251,[MI200]RCC_STRAP.RCC_BIF_STRAP5 register write failed by smn map,MI200,leimu102,,MI200_NBIO_RTL,MI200_NBIO_SS,,Closed,leimu102
Defect,DEIPCNBS20-994,1424623,set _f_one_trust_level_for_all_masters to 0,MI200,bobliu,,,,,Closed,bobliu
Defect,DEIPCNBS20-991,1421936,virtual wire NP block virtual wire P,MI200,zhegao,,,,,Rejected,alzhu
Documentation,DEIPCNBS20-990,1421894,[MI200][MAS]ATHUB Unit ID confirmation,MI200,trgong,,,,,Closed,benpeng
Defect,DEIPCNBS20-988,1419897,"[MI200]A+A mode, NBIF drop all the host trans.",MI200,pfli,,MI200_NBIO_SS,NBIO_MI200,,Closed,jyang4
Documentation,DEIPCNBS20-987,1419022,MI200 Forward RO attribute to HDP client TestPlan,MI200,pfli,29/Sep/19 12:00 AM,,,,Closed,pfli
Defect,DEIPCNBS20-986,1418981,[MI200 PV] PCIE->NBIF max OT is 255 which should be 512,MI200,buhengxu,,MI200_NBIO_PV,MI200_NBIO_RTL,MI200_NBIO_SS,Closed,jiaqiu
Defect,DEIPCNBS20-984,1416033,smn err resp merge issue,MI200,siluo,,,,,Deferred,xiaojwan
Defect,DEIPCNBS20-983,1415151,ds_allow record,MI200,shiyan,,,,,Closed,shiyan
Defect,DEIPCNBS20-981,1414923,check A2S tag number before send out a chained DMA,MI200,smchen,,,,,Closed,smchen
Documentation,DEIPCNBS20-980,1414847,mi200 sdp rspstatus mapped to axi rspstatus err,MI200,shiyan,,,,,Closed,shiyan
Documentation,DEIPCNBS20-979,1414026,[mi200][MAS] sdp 3.0 sdpuser review,MI200,buhengxu,,,,,Implemented,wangr1
Defect,DEIPCNBS20-975,1412871,[MI200] NBIF Unit ID width not match IOHUB side.,MI200,tingxie2,,MI200_NBIO_RTL,MI200_NBIO_SS,,Closed,jyang4
Task,DEIPCNBS20-974,1412863,[mi200] bif_module_ovc checker: a_nbif_smn_init_req_scbd [bif_client_scoreboard_base]  RELAX order compare! Predictor queue is NOT empty! And pred_trans_q.size() = 0x2.,MI200,pfli,,MI200_NBIO_SS,,,Closed,elyang
Defect,DEIPCNBS20-973,1412807,nbif dynamic vc_credit_allocate support,MI200,siluo,,,,,Deferred,shiyan
Documentation,DEIPCNBS20-969,1411910,[MI200]How does the new unitid map to the old format?,MI200,pfli,30/Sep/19 12:00 AM,,,,Closed,pfli
Defect,DEIPCNBS20-966,1407495,[NBIF][MI200][MAS][GEN5]Functionalities of Physical Layer 32.0 GT/s Extended Capability discussion,MI200,belchen,26/Nov/19 12:00 AM,,,,Closed,benpeng
Documentation,DEIPCNBS20-965,1407262,[MI200][LSB drop] AER info offset mismatch between NBIF and PCIE,MI200,jiaqiu,,MI200_NBIO_RTL,MI200_NBIO_SS,,Closed,jiaqiu
